SMILES,uniprot_id1,uniprot_id2,scores,5AAN,id,qeppi,sas,tox,bbbp,model,docking 5AAN,docking 6QI4,6QI4
C[NH2+]CC(=O)c1cc(-c2ccc3c(c2)OCCO3)ccc1-c1nnc(C[NH2+]C)o1,P62166,Q9NPQ8,0.0538979405021366,-9.06594,178_ric8_virtual_library,0.8066429802268666,3.635667119323424,0.0,1,Freed2,-7.3,-7.9,-8.35283
Cc1c(Br)cccc1NC(=O)C[N@@H+](C)[C@@H](C)C(=O)Nc1ccc(S(N)(=O)=O)cc1,P62166,Q9NPQ8,0.1402804912020732,-8.66339,273_ric8_virtual_library,0.5407052820556384,3.671555297878628,0.0,1,Taiga,-7.2,-7.5,-5.53787
CNC(=O)[C@@H](C)NC(=O)c1c(C)ccc2c1cnn2-c1ccc(F)cc1F,P62166,Q9NPQ8,0.2040855056975972,-8.44056,130_ric8_virtual_library,0.8625507358523468,2.8808758103041576,0.0,1,Hgraph,-8.7,-8.2,-7.16513
C[C@@H](c1ccc(Br)c(-c2cc(-c3ccc4c(c3)OCO4)ccc2S(N)(=O)=O)c1)[C@H]([NH3+])C=O,P62166,Q9NPQ8,0.0629601848453299,-8.41951,243_ric8_virtual_library,0.904106445780292,3.770951932595505,0.0,1,Freed2,-7.9,-7.8,-6.69947
C[C@@H](C(N)=O)[C@@H]([NH3+])C(=O)c1cc(-c2ccccc2)ccc1-c1occc1Br,P62166,Q9NPQ8,0.1384968344918364,-8.27217,51_ric8_virtual_library,0.7799141897273681,3.686397237603707,0.0,1,Freed2,-7.9,-7.7,-7.10145
CNCC(=O)c1ccc(-c2ccc3c(c2)OCO3)c(C(=O)CN(C)NC(N)=O)c1,P62166,Q9NPQ8,0.0834489258250727,-8.12257,331_ric8_virtual_library,0.5632735316416532,2.821215348871654,0.0,1,Freed2,-7.2,-7.0,-7.31142
CC[C@H](N)C(=O)/C=C/c1ccc(-c2ccc3c(c2)CC[NH2+]C3)c(C(=O)C(N)=O)c1,P62166,Q9NPQ8,0.0001001905659133,-8.11892,338_ric8_virtual_library,0.6754699388433063,3.980162864235457,0.0,1,Freed2,-7.8,-8.4,-6.92787
CNC(=O)[C@H](C)NC(=O)c1c(C)ccc2c1cnn2-c1ccc(F)cc1F,P62166,Q9NPQ8,0.2361563697183498,-8.0703,130_ric8_virtual_library,0.8625507358523468,2.8808758103041576,0.0,1,Hgraph,-8.3,-7.8,-6.53603
CC[C@@H](N)C(=O)/C=C/c1ccc(-c2ccc3c(c2)CC[NH2+]C3)c(C(=O)C(N)=O)c1,P62166,Q9NPQ8,0.0550917938693046,-8.06027,338_ric8_virtual_library,0.6754699388433063,3.980162864235457,0.0,1,Freed2,-7.7,-8.1,-7.67608
O=C1CC[C@H](N2C(=O)CC(c3ccccc3)(c3ccccc3)C2=O)C(=O)N1,P62166,Q9NPQ8,0.3376593977361639,-8.06,21_ric8_virtual_library,0.715924957334532,3.0449095522379004,0.0,1,Hgraph,-8.6,-8.4,-6.40095
